label,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20

Up,0.28506577014923096,0.3301311135292053,0.3603951334953308,0.351981520652771,0.3236824572086334,0.3360123038291931,0.3425767719745636,0.3482373356819153,0.35146957635879517,0.30254489183425903,0.30713707208633423,0.311952143907547,0.3121452331542969,0.2721444070339203,0.2756800055503845,0.28278470039367676,0.28347113728523254,0.24180738627910614,0.2479967176914215,0.25589507818222046,0.25833237171173096,0.7549765706062317,0.7295818328857422,0.6661994457244873,0.6080584526062012,0.5744118094444275,0.5807192325592041,0.5192618370056152,0.5348196029663086,0.5509028434753418,0.5829733610153198,0.5450846552848816,0.592603325843811,0.6271073222160339,0.595787525177002,0.5691486597061157,0.6124672293663025,0.6424368619918823,0.6152743697166443,0.5890515446662903,0.6234682202339172,0.6493999361991882,-7.387726697061225e-08,-0.018308332189917564,-0.025732161477208138,-0.032723844051361084,-0.03885042294859886,-0.01319288369268179,-0.03436706215143204,-0.04925508052110672,-0.057276204228401184,-0.01242487970739603,-0.0341915488243103,-0.042697880417108536,-0.04475390538573265,-0.014628363773226738,-0.036158327013254166,-0.03228757530450821,-0.02527543343603611,-0.01843094825744629,-0.032972801476716995,-0.02641104906797409,-0.017953433096408844

Up,0.2792915403842926,0.32560041546821594,0.35367804765701294,0.3487667441368103,0.3293720781803131,0.32956069707870483,0.33197540044784546,0.3394457995891571,0.34373176097869873,0.2998168468475342,0.3010825216770172,0.30836907029151917,0.31090518832206726,0.2717202305793762,0.2730364203453064,0.2804793417453766,0.28208377957344055,0.2433641105890274,0.24749396741390228,0.2563712000846863,0.2596946954727173,0.7628214359283447,0.7330978512763977,0.6723405718803406,0.6180577278137207,0.5848146080970764,0.5875372290611267,0.5283377170562744,0.5594517588615417,0.5937924385070801,0.5899098515510559,0.5484662055969238,0.5914711952209473,0.6247149109840393,0.6005159616470337,0.5702712535858154,0.6109727025032043,0.641510009765625,0.6179555058479309,0.5891084671020508,0.6206428408622742,0.6464428901672363,-2.1235942426756083e-07,-0.014052823185920715,-0.018309932202100754,-0.023705895990133286,-0.026934243738651276,-0.0011463547125458717,-0.023086505010724068,-0.03808906301856041,-0.04416568577289581,-0.001352013205178082,-0.021581485867500305,-0.030111519619822502,-0.031166337430477142,-0.00535518629476428,-0.024891480803489685,-0.021461747586727142,-0.013990409672260284,-0.010887247510254383,-0.022720681503415108,-0.016149897128343582,-0.00713954446837306

Up,0.31448742747306824,0.3604578971862793,0.3884426951408386,0.38753652572631836,0.37731271982192993,0.3747301697731018,0.3845745921134949,0.39087849855422974,0.3889418840408325,0.344255268573761,0.3520897328853607,0.35686445236206055,0.35343238711357117,0.31393834948539734,0.32293692231178284,0.3291405439376831,0.3254763185977936,0.28180453181266785,0.29582661390304565,0.30483153462409973,0.3034796118736267,0.745962381362915,0.7133128046989441,0.6330809593200684,0.5590510964393616,0.5112500190734863,0.5659072399139404,0.5118917226791382,0.5615403652191162,0.6030122637748718,0.5658080577850342,0.5156552791595459,0.5755017399787903,0.614865779876709,0.5739474296569824,0.5337947010993958,0.5889734029769897,0.6244897246360779,0.588344395160675,0.5523253679275513,0.5909329056739807,0.618114709854126,-2.648797305937478e-07,-0.02026933990418911,-0.025674503296613693,-0.03193125128746033,-0.03441240265965462,0.0050353603437542915,-0.025561554357409477,-0.04539434611797333,-0.05213945358991623,0.006170704960823059,-0.022410152480006218,-0.033277202397584915,-0.03229181468486786,0.0013300577411428094,-0.026920419186353683,-0.02243751846253872,-0.010233011096715927,-0.0054351263679564,-0.02162274904549122,-0.01384646724909544,-0.0019164098193868995

Up,0.31994137167930603,0.3632652759552002,0.3932027816772461,0.39256206154823303,0.37950462102890015,0.37697330117225647,0.38327470421791077,0.3878532946109772,0.38797712326049805,0.34560447931289673,0.35418373346328735,0.3608425557613373,0.3582043945789337,0.315593421459198,0.3229656219482422,0.33134955167770386,0.32896724343299866,0.28288912773132324,0.2956094443798065,0.30644941329956055,0.3051227629184723,0.7325534224510193,0.7073101997375488,0.6312937140464783,0.5635505318641663,0.5209816694259644,0.5619778037071228,0.4880495071411133,0.43551045656204224,0.39329490065574646,0.5629416108131409,0.5169800519943237,0.5687940120697021,0.6085450053215027,0.5731738805770874,0.5371792912483215,0.5866016149520874,0.6217191815376282,0.5888139009475708,0.5549541115760803,0.5908175706863403,0.6190967559814453,8.575748466910227e-08,-0.018615443259477615,-0.023810556158423424,-0.028980109840631485,-0.034261949360370636,-0.007129838690161705,-0.021281445398926735,-0.03082459233701229,-0.03807547688484192,-0.006735546980053186,-0.03354698792099953,-0.041436534374952316,-0.04012220352888107,-0.00874610897153616,-0.036409929394721985,-0.029546141624450684,-0.01762593537569046,-0.01233543548732996,-0.03162890300154686,-0.02476694993674755,-0.014987296424806118

Up,0.36403095722198486,0.40546876192092896,0.43426963686943054,0.4377216696739197,0.4319661259651184,0.4298672080039978,0.442318320274353,0.45142513513565063,0.4544264078140259,0.39811068773269653,0.4155791401863098,0.42351269721984863,0.42137184739112854,0.3663098216056824,0.381614625453949,0.38690638542175293,0.3828137218952179,0.33240807056427,0.3480219841003418,0.3557828962802887,0.3519403040409088,0.722915768623352,0.698162317276001,0.6355745792388916,0.5748885273933411,0.5276138782501221,0.5472913980484009,0.466108500957489,0.4122971296310425,0.36843055486679077,0.5490217804908752,0.4997367262840271,0.5493031740188599,0.5854446887969971,0.5589443445205688,0.5284268260002136,0.5853256583213806,0.6191729307174683,0.5745632648468018,0.5410369634628296,0.584743857383728,0.614632785320282,1.5942492836984457e-07,-0.022005224600434303,-0.03301362693309784,-0.043968651443719864,-0.0544469952583313,-0.015872662886977196,-0.03636917471885681,-0.049241479486227036,-0.05721767246723175,-0.016509603708982468,-0.04980195313692093,-0.05892878398299217,-0.0561726950109005,-0.0196587722748518,-0.0545181967318058,-0.047415927052497864,-0.0322655588388443,-0.024357091635465622,-0.047059908509254456,-0.03693937510251999,-0.022572152316570282

